date, pm25, pm10, o3, no2, so2, co
2022/1/3, 275, 184, 12, 20, 2, 10
2022/1/4, 267, 229, 2, 16, 2, 8
2022/1/5, 345, 86, 7, 9, 2, 9
2022/1/6, 183, 70, 5, 8, 2, 9
2022/1/7, 153, 52, 4, 7, 2, 8
2022/1/8, 131, 57, 2, 7, 2, 9
2022/1/9, 121, 99, 10, 10, 2, 9
2022/1/10, 175, 106, 11, 10, 2, 8
2022/1/11, 185, 130, 13, 12, 2, 10
2022/1/12, 187, 219, 6, 16, 2, 9
2022/1/13, 309, 184, 4, 12, 2, 8
2022/1/14, 276, 130, 3, 9, 2, 8
2022/1/15, 211, 129, 10, 10, 2, 9
2022/1/16, 214, 159, 8, 12, 2, 8
2022/1/17, 252, 171, 8, 12, 2, 9
2022/1/18, 258, 205, 11, 13, 2, 9
2022/1/19, 261, 206, 8, 10, 2, 9
2022/1/20, 284, 160, 11, 13, 2, 9
2022/1/21, 245, 107, 5, 9, 2, 8
2022/1/22, 200, 99, 6, 8, 2, 10
2022/1/23, 190, 131, , 12, 2, 10
2022/1/24, 200, 130, , 10, 2, 9
2022/1/25, 202, 124, 3, 9, 2, 9
2022/1/26, 199, 116, 13, 12, 2, 8
2022/1/27, 197, , , , , 
2021/10/1, 128, 83, 14, 9, 1, 9
2021/10/2, 134, 71, 9, 7, 1, 8
2021/10/3, 89, 75, 12, 9, 1, 11
2021/10/4, 77, 86, 28, 9, 1, 9
2021/10/5, 110, 83, 17, 9, 1, 8
2021/10/6, 127, 93, 24, 10, 1, 9
2021/10/7, 147, 127, 26, 10, 2, 7
2021/10/8, 155, 115, 26, 13, 2, 13
2021/10/9, 123, 115, 23, 12, 2, 12
2021/10/10, 132, 105, 21, 13, 2, 15
2021/10/11, 129, 130, 22, 14, 2, 12
2021/10/12, 144, 123, 7, 13, 2, 8
2021/10/13, 152, 124, 23, 15, 2, 10
2021/10/14, 152, 127, 39, 16, 2, 14
2021/10/15, 167, 194, 42, 21, 3, 18
2021/10/16, 213, 116, 7, 11, 1, 8
2021/10/17, 163, 28, 6, 6, 1, 9
2021/10/18, 46, 70, 17, 9, 1, 10
2021/10/19, 116, 120, 25, 13, 1, 15
2021/10/20, 171, 134, 20, 14, 1, 11
2021/10/21, 143, 108, 18, 12, 1, 13
2021/10/22, 118, 104, 17, 12, 2, 10
2021/10/23, 140, 86, 18, 9, 1, 8
2021/10/24, 141, 64, 20, 11, 1, 10
2021/10/25, 102, 102, 23, 11, 1, 15
2021/10/26, 150, 147, 18, 16, 2, 11
2021/10/27, 177, 143, 22, 15, 1, 12
2021/10/28, 186, 151, 23, 17, 1, 14
2021/10/29, 185, 143, 20, 15, 1, 9
2021/10/30, 178, 159, 26, 15, 1, 12
2021/10/31, 195, 176, 22, 17, 2, 17
2021/11/1, 204, 151, 19, 15, 1, 12
2021/11/2, 193, 166, 22, 15, 1, 13
2021/11/3, 209, 294, 25, 14, 1, 13
2021/11/4, 330, 552, 13, 13, 1, 14
2021/11/5, 396, 292, 22, 15, 1, 12
2021/11/6, 377, 245, 24, 15, 1, 12
2021/11/7, 315, 223, 24, 16, 1, 12
2021/11/8, 308, 251, 23, 17, 2, 13
